z N z_true zphot bias
0.05 1304 0.07995912576687128 0.08767983128834353 -0.0009482204410397623
0.15000000000000002 2475 0.15972327272727294 0.16478662626262613 0.0002671129907473551
0.25 9714 0.2510556928144922 0.26483974675725686 -0.0003222965960248042
0.35000000000000003 9161 0.3465185132627438 0.3614969981443078 -0.0018608188447055893
0.45 15313 0.45295402599098855 0.4481691046822982 0.002650551330059323
0.55 16024 0.5545831877184288 0.5423070831253162 0.0015816407920836058
0.6500000000000001 17269 0.6453060223522039 0.6426200590653791 0.0010299085823987988
0.7500000000000001 14581 0.7543696728619536 0.7560536108634545 -0.0005681968211082747
0.8500000000000001 12743 0.8445975123597285 0.8382982186298398 0.00258897756787966
0.9500000000000001 13555 0.9544165252674428 0.9526534415344864 0.0004018477026113692
1.05 9007 1.0472082935494589 1.0461913289663614 0.0008688985661010011
1.1500000000000001 7104 1.1489317004504453 1.145702111486483 0.0013197058440071847
