z N z_true zphot bias
0.05 1304 0.07995912576687128 0.24967078220858896 -0.0017366065706350485
0.15000000000000002 2478 0.15975314769975804 0.4059526230831314 -0.002150430475927015
0.25 9714 0.2511582252419167 0.3951650710314995 -0.00341921735009633
0.35000000000000003 9135 0.3465422988505747 0.45656745484400396 -0.0035059372947027247
0.45 15323 0.4529423154734716 0.4913682307642133 0.005077715114568933
0.55 16020 0.5546119163545631 0.570694843945072 0.0020212341868480325
0.6500000000000001 17236 0.6453019320027954 0.6626609828266442 0.001721490621645881
0.7500000000000001 14547 0.7544029903072907 0.7623718979858418 -0.0005433590806397947
0.8500000000000001 12712 0.8445738042794227 0.8505529499685368 0.0025696090259824367
0.9500000000000001 13552 0.9544290953364953 0.9711724247343568 0.0002675085329755357
1.05 9016 1.0472528172138396 1.0702649733806557 -0.0010228039297645812
1.1500000000000001 7100 1.1489393239436574 1.162298971830986 -0.001331584927393961
