z_true,z_photo,F
0.05,0.09,0.20912122995097607
0.15,0.4,0.21147878093721062
0.25,0.45,0.20036466544919293
0.35,0.48,0.17622811116148354
0.44999999999999996,0.38,0.13951834574864297
0.5499999999999999,0.5,0.09257723271151255
0.65,0.6,0.05048395548049185
0.75,0.65,0.028184983519789
0.85,0.95,0.02944854462003825
0.95,1.1,0.04100925608898342
1.0499999999999998,1.21,0.055489710090342564
1.15,1.25,0.07250038684435972
