zlow zhi meanz CORmeanz fout CORfout stdd bias outbias IQR IQRstdd IQRbias CORstdd CORbias CORoutbias CORIQR CORIQRstdd CORIQRbias estdd ebias eoutbias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORoutbias eCORIQR eCORIQRstdd eCORIQRbias 
1.9000 2.0000 1.9501 1.9501 0.0845 0.0837 0.0396 -0.0043 -0.0315 0.0364 0.0270 -0.0031 0.0351 -0.0037 -0.0253 0.0363 0.0269 -0.0030 0.0044 0.0012 0.0106 0.0014 0.0010 0.0009 0.0013 0.0010 0.0088 0.0014 0.0010 0.0008 
2.0000 2.1000 2.0495 2.0495 0.0951 0.0933 0.0465 -0.0022 -0.0136 0.0376 0.0279 -0.0015 0.0376 -0.0010 -0.0009 0.0375 0.0278 -0.0015 0.0059 0.0014 0.0129 0.0015 0.0011 0.0009 0.0017 0.0012 0.0096 0.0014 0.0011 0.0010 
2.1000 2.2000 2.1474 2.1473 0.1006 0.0944 0.0624 -0.0096 -0.0657 0.0349 0.0259 -0.0044 0.0349 -0.0053 -0.0244 0.0345 0.0256 -0.0041 0.0088 0.0021 0.0190 0.0017 0.0012 0.0010 0.0013 0.0012 0.0088 0.0016 0.0012 0.0009 
2.2000 2.3000 2.2498 2.2497 0.1053 0.0900 0.0884 -0.0180 -0.1429 0.0340 0.0252 -0.0048 0.0344 -0.0073 -0.0483 0.0335 0.0249 -0.0042 0.0110 0.0034 0.0273 0.0019 0.0014 0.0010 0.0024 0.0013 0.0098 0.0020 0.0015 0.0010 
2.3000 2.4000 2.3442 2.3441 0.1530 0.1065 0.1505 -0.0351 -0.2350 0.0370 0.0274 -0.0018 0.0369 -0.0009 -0.0167 0.0342 0.0253 0.0001 0.0114 0.0059 0.0315 0.0023 0.0017 0.0012 0.0016 0.0015 0.0111 0.0021 0.0016 0.0011 
2.4000 2.5000 2.4509 2.4505 0.1857 0.0960 0.2038 -0.0687 -0.3691 0.0408 0.0303 -0.0055 0.0385 -0.0022 -0.0209 0.0351 0.0260 -0.0015 0.0120 0.0092 0.0350 0.0031 0.0023 0.0015 0.0021 0.0018 0.0148 0.0024 0.0017 0.0013 
2.5000 2.6000 2.5460 2.5465 0.1368 0.0724 0.1762 -0.0476 -0.3386 0.0411 0.0305 -0.0037 0.0335 -0.0002 0.0145 0.0355 0.0263 -0.0010 0.0134 0.0081 0.0442 0.0028 0.0021 0.0015 0.0016 0.0016 0.0150 0.0022 0.0017 0.0013 
2.6000 2.7000 2.6502 2.6505 0.0992 0.0458 0.1598 -0.0395 -0.3927 0.0371 0.0275 -0.0021 0.0285 -0.0012 -0.0136 0.0328 0.0243 -0.0000 0.0156 0.0083 0.0516 0.0029 0.0022 0.0015 0.0012 0.0015 0.0187 0.0030 0.0022 0.0014 
2.7000 2.8000 2.7482 2.7485 0.0926 0.0504 0.1391 -0.0378 -0.3573 0.0310 0.0230 -0.0070 0.0266 -0.0083 -0.0678 0.0286 0.0212 -0.0056 0.0190 0.0087 0.0629 0.0029 0.0022 0.0015 0.0016 0.0017 0.0133 0.0030 0.0022 0.0014 
2.8000 2.9000 2.8450 2.8445 0.1735 0.0847 0.2004 -0.0815 -0.4261 0.0490 0.0363 -0.0148 0.0334 -0.0167 -0.0980 0.0336 0.0249 -0.0103 0.0193 0.0142 0.0526 0.0050 0.0037 0.0027 0.0029 0.0025 0.0079 0.0045 0.0033 0.0022 
2.9000 3.0000 2.9432 2.9448 0.2927 0.1714 0.2363 -0.1195 -0.3814 0.0645 0.0478 -0.0269 0.0324 -0.0225 -0.0772 0.0458 0.0339 -0.0179 0.0264 0.0261 0.0654 0.0453 0.0336 0.0058 0.0024 0.0040 0.0041 0.0058 0.0043 0.0048 
