z_true F outlier_bias
0.05 0.0015337423312883436 0.4486678017578574
0.15000000000000002 0.021414141414141413 0.324436834536086
0.25 0.06495779287626106 0.18767382634840302
0.35000000000000003 0.06986136884619583 0.09298060441316204
0.45 0.05159015215829687 -0.05429304542513821
0.55 0.02983025461807289 -0.080866801150875
0.6500000000000001 0.008628177659389658 -0.025346098637551013
0.7500000000000001 0.012344832316027708 -0.027928617760129008
0.8500000000000001 0.014988621203798163 -0.05744999781017476
0.95 0.008779048321652527 -0.04106247347852523
1.05 0.003663817031197957 0.011795246542162722
1.15 0.005489864864864865 -0.06276859523798167
