z_true F outlier_bias
0.025 0.0 0.0
0.075 0.0016260162601626016 0.4486678017578574
0.125 0.009375 0.5833586306172212
0.175 0.029042904290429043 0.2734050663449941
0.225 0.059952038369304565 0.2283295660423677
0.275 0.06810937762120449 0.16608932950008284
0.325 0.06954626510798494 0.11185540190733494
0.375 0.07024793388429752 0.07093213296468616
0.425 0.0379053128330035 -0.025782561722355192
0.475 0.06187099725526075 -0.06697528312804851
0.5249999999999999 0.0421710788878542 -0.08904744496687729
0.575 0.018925590690019985 -0.06526274725344157
0.625 0.0088859163004013 -0.03768132011005783
0.6749999999999999 0.008231662501837425 -0.00538483062667803
0.725 0.01133892513202858 -0.009123859418649726
0.7749999999999999 0.013140120348765813 -0.04045570527825218
0.825 0.010086455331412105 -0.04937021930130738
0.875 0.022313564298297124 -0.0627619981145266
0.925 0.01188821985487108 -0.052952814417002614
0.975 0.005933879627013279 -0.019746906860422603
1.025 0.0026954177897574125 0.015615927866936297
1.0749999999999995 0.004780114722753346 0.009370597372572264
1.1249999999999998 0.004707112970711297 -0.04998851738572176
1.1749999999999998 0.0064024390243902435 -0.07347757251320801
