Bin N_G z_true_mean_G z_phot_mean_G N_R z_true_mean_R z_phot_mean_R fout COR_Outlier_Bias
0.05 1304 0.07995912576687128 0.08767983128834353 2 0.57405 0.08655 0.0015337423312883436 0.4486678017578574
0.15000000000000002 2475 0.15972327272727294 0.16478662626262613 53 0.5499509433962266 0.17027169811320758 0.021414141414141413 0.32443683453608596
0.25 9714 0.2510556928144922 0.26483974675725686 631 0.4879838351822506 0.2528556259904914 0.06495779287626106 0.187673826348403
0.35000000000000003 9161 0.3465185132627438 0.3614969981443078 640 0.4712545312499996 0.3460939062500003 0.06986136884619583 0.09298060441316203
0.45 15313 0.45295402599098855 0.4481691046822982 790 0.3809151898734183 0.460193544303798 0.05159015215829687 -0.054293045425138214
0.55 16024 0.5545831877184288 0.5423070831253162 478 0.4158962343096232 0.5404690376569038 0.029830254618072892 -0.080866801150875
0.6500000000000001 17269 0.6453060223522039 0.6426200590653791 149 0.6036268456375838 0.6453295302013425 0.008628177659389658 -0.025346098637551013
0.7500000000000001 14581 0.7543696728619536 0.7560536108634545 180 0.7067683333333332 0.7558055555555553 0.012344832316027708 -0.027928617760129008
0.8500000000000001 12743 0.8445975123597285 0.8382982186298398 191 0.7464785340314135 0.8529293193717279 0.014988621203798163 -0.05744999781017476
0.9500000000000001 13555 0.9544165252674428 0.9526534415344864 119 0.8667201680672272 0.9466546218487396 0.008779048321652527 -0.04106247347852523
1.05 9007 1.0472082935494589 1.0461913289663614 33 1.0810727272727272 1.0568121212121215 0.003663817031197957 0.011795246542162722
1.1500000000000001 7104 1.1489317004504453 1.145702111486483 39 1.0198153846153848 1.155087179487179 0.005489864864864865 -0.06276859523798167
