zlow zhi meanz CORmeanz fout CORfout stdd bias outbias IQR IQRstdd IQRbias CORstdd CORbias CORoutbias CORIQR CORIQRstdd CORIQRbias estdd ebias eoutbias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORoutbias eCORIQR eCORIQRstdd eCORIQRbias
1.9000 2.0000 1.9485 1.9485 0.1009 0.1009 0.0397 -0.0025 -0.0082 0.0379 0.0281 -0.0019 0.0397 -0.0025 -0.0082 0.0379 0.0281 -0.0019 0.0024 0.0017 0.0134 0.0020 0.0015 0.0013 0.0024 0.0017 0.0132 0.0019 0.0014 0.0013
2.0000 2.1000 2.0500 2.0500 0.0927 0.0927 0.0389 -0.0026 -0.0156 0.0351 0.0260 -0.0024 0.0389 -0.0026 -0.0156 0.0351 0.0260 -0.0024 0.0033 0.0019 0.0163 0.0019 0.0014 0.0014 0.0034 0.0018 0.0162 0.0019 0.0014 0.0013
2.1000 2.2000 2.1455 2.1453 0.1173 0.1102 0.0695 -0.0085 -0.0588 0.0346 0.0256 -0.0026 0.0391 -0.0033 -0.0156 0.0341 0.0253 -0.0024 0.0139 0.0036 0.0291 0.0021 0.0016 0.0015 0.0036 0.0019 0.0145 0.0022 0.0016 0.0014
2.2000 2.3000 2.2483 2.2482 0.1373 0.1287 0.0746 -0.0153 -0.0869 0.0365 0.0270 -0.0059 0.0405 -0.0091 -0.0439 0.0361 0.0268 -0.0055 0.0156 0.0044 0.0278 0.0032 0.0024 0.0016 0.0029 0.0023 0.0144 0.0032 0.0024 0.0016
2.3000 2.4000 2.3443 2.3429 0.1603 0.0756 0.1928 -0.0649 -0.3953 0.0380 0.0281 -0.0062 0.0347 -0.0046 -0.0385 0.0320 0.0237 -0.0028 0.0163 0.0117 0.0496 0.0041 0.0030 0.0018 0.0029 0.0022 0.0214 0.0027 0.0020 0.0016
2.4000 2.5000 2.4501 2.4505 0.1938 0.1333 0.1757 -0.0457 -0.2334 0.0365 0.0271 -0.0028 0.0388 0.0013 0.0135 0.0319 0.0236 -0.0003 0.0176 0.0109 0.0482 0.0041 0.0030 0.0018 0.0025 0.0025 0.0159 0.0035 0.0026 0.0017
2.5000 2.6000 2.5472 2.5468 0.1429 0.0645 0.1888 -0.0564 -0.3928 0.0375 0.0278 -0.0039 0.0309 -0.0001 0.0044 0.0345 0.0256 -0.0008 0.0200 0.0135 0.0639 0.0032 0.0024 0.0021 0.0024 0.0024 0.0261 0.0027 0.0020 0.0021
2.6000 2.7000 2.6463 2.6455 0.1313 0.0855 0.1538 -0.0391 -0.2850 0.0405 0.0300 -0.0059 0.0336 -0.0046 -0.0333 0.0385 0.0286 -0.0039 0.0241 0.0121 0.0729 0.0036 0.0027 0.0028 0.0022 0.0028 0.0212 0.0034 0.0025 0.0027
2.7000 2.8000 2.7499 2.7506 0.1418 0.0726 0.1805 -0.0549 -0.3740 0.0339 0.0251 -0.0058 0.0307 -0.0043 -0.0321 0.0306 0.0227 -0.0033 0.0241 0.0149 0.0761 0.0054 0.0040 0.0023 0.0028 0.0028 0.0262 0.0036 0.0027 0.0022
2.8000 2.9000 2.8438 2.8434 0.1026 0.0411 0.1676 -0.0542 -0.4594 0.0321 0.0238 -0.0119 0.0263 -0.0108 -0.0802 0.0327 0.0242 -0.0094 0.0359 0.0190 0.1158 0.0041 0.0030 0.0031 0.0026 0.0031 nan 0.0046 0.0034 0.0032
2.9000 3.0000 2.9373 2.9385 0.1200 0.0833 0.1367 -0.0446 -0.2832 0.0216 0.0160 -0.0116 0.0240 -0.0171 -0.0728 0.0213 0.0158 -0.0109 0.0732 0.0277 nan 0.0140 0.0104 0.0046 0.0041 0.0048 nan 0.0097 0.0072 0.0042
