z_true z_phot COR_val
0.014823 0.252435 -0.23761200000000002
0.017027 0.055589 -0.038562
0.017182 0.022209 -0.005027
0.017908 0.020425 -0.0025169999999999984
0.018077 0.023789 -0.005712000000000002
0.020265 0.075824 -0.055559000000000004
0.021897 0.054505 -0.032608
0.022575 0.023696 -0.001120999999999997
0.02277 0.034084 -0.011314000000000005
0.023061 0.054966 -0.031905
0.023081 0.042611 -0.019530000000000002
0.023579 0.023732 -0.00015300000000000036
0.023584 0.049405 -0.025820999999999997
0.030215 0.040268 -0.010053
0.03055 0.014874 0.015676000000000002
0.0306 0.055807 -0.025207000000000004
0.030858 0.055768 -0.024909999999999998
0.033842 0.068587 -0.034745
0.034084 0.015115 0.018969000000000003
0.035307 0.056339 -0.021032000000000002
0.035914 0.041816 -0.0059019999999999975
0.03624 0.035859 0.0003809999999999994
0.036954 0.089862 -0.052908
0.039615 0.057774 -0.018159
0.039717 0.061512 -0.021794999999999995
0.040095 0.055542 -0.015447000000000002
0.040352 0.046636 -0.006283999999999998
0.043253 0.066752 -0.023499000000000006
0.04363 0.09286 -0.049229999999999996
0.044043 0.041329 0.002714000000000001
0.044146 0.062839 -0.018693000000000008
0.046039 0.042885 0.003153999999999997
0.046636 0.054963 -0.008327000000000001
0.048566 0.054964 -0.006398000000000001
0.04869 0.054404 -0.005714000000000004
0.049011 0.055745 -0.006734000000000004
0.049094 0.024708 0.024385999999999998
0.049354 0.03484 0.014513999999999999
0.049663 0.041329 0.008334000000000001
0.050019 0.023732 0.026287
0.050128 0.081781 -0.03165300000000001
0.053067 0.046039 0.0070280000000000065
0.053854 0.07086 -0.017006000000000007
0.054095 0.053964 0.00013099999999999917
0.054139 0.078649 -0.024509999999999997
0.054144 0.090194 -0.03605
0.054244 0.092266 -0.038022
0.05429 0.02449 0.029799999999999997
0.05433 0.226088 -0.17175800000000002
0.054422 0.015477 0.038945
0.05444 0.069304 -0.014864000000000002
0.054511 0.073433 -0.018922
0.05455 0.039871 0.014679000000000005
0.054576 0.080734 -0.026158
0.054671 0.079504 -0.024833000000000008
0.054678 0.113475 -0.05879700000000001
0.054685 0.039416 0.015268999999999998
0.054885 0.094299 -0.03941399999999999
0.054926 0.050276 0.004650000000000001
0.054963 0.046636 0.008327000000000001
0.054964 0.08591 -0.030946
0.055042 0.092663 -0.037620999999999995
0.055047 0.042203 0.012844000000000001
0.055052 0.051609 0.0034429999999999947
0.055094 0.030832 0.024262
0.055129 0.054712 0.0004170000000000007
0.055136 0.063563 -0.008426999999999997
0.055166 0.054121 0.0010449999999999973
0.055217 0.047741 0.0074760000000000035
0.055258 0.049405 0.005853000000000004
0.055271 0.02449 0.030781
0.055294 0.097704 -0.042409999999999996
0.055405 0.056834 -0.0014289999999999997
0.055448 0.051135 0.004312999999999997
0.055484 0.079318 -0.023834
0.055526 0.063407 -0.007881000000000006
0.055724 0.022951 0.032773000000000004
0.055759 0.054838 0.0009210000000000051
0.055779 0.068108 -0.012329
0.055879 0.06834 -0.012461
0.055962 0.03484 0.021121999999999995
0.055976 0.115205 -0.059229000000000004
0.056155 0.040459 0.015695999999999995
0.05632 0.03743 0.018890000000000004
0.056446 0.081652 -0.025206
0.056537 0.054411 0.002125999999999996
0.056985 0.05652 0.00046500000000000014
0.057024 0.056329 0.0006950000000000012
0.057151 0.078293 -0.021142
0.057242 0.115784 -0.058542
0.057296 0.09775 -0.040454000000000004
0.057474 0.049156 0.008317999999999999
0.058315 0.024671 0.033644
0.058603 0.055253 0.0033500000000000058
0.05978 0.091463 -0.031683
0.060398 0.081346 -0.020948
0.060517 0.079697 -0.019180000000000003
0.060676 0.050045 0.010631000000000002
0.060914 0.07979 -0.018875999999999997
0.061006 0.055801 0.005204999999999994
0.061311 0.09317 -0.031859000000000005
0.061605 0.07935 -0.017745000000000004
0.061916 0.07726 -0.015343999999999997
0.063423 0.063709 -0.00028600000000000847
0.06359 0.050244 0.013345999999999997
0.064065 0.058678 0.005386999999999996
0.065545 0.057351 0.008194000000000007
0.065564 0.055526 0.010037999999999998
0.066211 0.070904 -0.004692999999999989
0.066752 0.055333 0.011419000000000006
0.06689 0.078079 -0.01118899999999999
0.067604 0.079504 -0.011900000000000008
0.067729 0.045518 0.022210999999999995
0.068042 0.08089 -0.012847999999999998
0.068235 0.108166 -0.039930999999999994
0.068587 0.06803 0.0005570000000000019
0.068894 0.087793 -0.018899
0.069077 0.078856 -0.009778999999999996
0.06909 0.056013 0.013076999999999998
0.069193 0.082742 -0.013548999999999992
0.069194 0.096574 -0.027379999999999988
0.069341 0.076742 -0.007401000000000005
0.069344 0.107953 -0.03860899999999999
0.069532 0.080532 -0.01100000000000001
0.069566 0.078231 -0.008664999999999992
0.070062 0.074438 -0.004376000000000005
0.070203 0.055735 0.014468000000000002
0.070953 0.079697 -0.008744000000000002
0.071161 0.078671 -0.007510000000000003
0.071186 0.055526 0.01566
0.071218 0.055233 0.015985000000000006
0.071223 0.099303 -0.028080000000000008
0.071457 0.079388 -0.007930999999999994
0.07187 0.054813 0.017057000000000003
0.072702 0.063407 0.009294999999999998
0.072754 0.087103 -0.014349
0.072822 0.097884 -0.025062
0.072838 0.094479 -0.021640999999999994
0.072937 0.071541 0.0013960000000000083
0.073406 0.104173 -0.030767000000000003
0.073686 0.076388 -0.002701999999999996
0.073787 0.077308 -0.0035209999999999964
0.074062 0.07707 -0.003007999999999997
0.074497 0.181479 -0.10698200000000001
0.074514 0.0778 -0.0032859999999999973
0.07455 0.055029 0.019521000000000004
0.074888 0.080457 -0.0055690000000000045
