z_true z_phot
0.082302 0.087667
0.082481 0.054725
0.082587 0.080475
0.082601 0.105444
0.082608 0.081566
0.082653 0.0782
0.082688 0.078378
0.08275 0.196184
0.082761 0.084008
0.082813 0.082869
0.082814 0.078314
0.082869 0.079342
0.082971 0.083804
0.082997 0.082916
0.08303 0.106082
0.083136 0.078348
0.08318 0.084253
0.083195 0.098799
0.083224 0.083392
0.083285 0.077928
0.083387 0.054007
0.083397 0.097316
0.083447 0.1991
0.083528 0.055355
0.083555 2.569489
0.083663 0.078563
0.083792 0.078435
0.083917 0.105483
0.083959 0.108761
0.083963 0.081169
0.084089 0.080082
0.08416 0.09044
0.08417 0.088709
0.08422 0.061628
0.084237 0.076947
0.084322 0.079526
0.084328 0.259095
0.084395 0.152594
0.084467 0.094568
0.084529 0.115715
0.084578 0.079837
0.084729 0.095782
0.084798 0.077153
0.084871 0.081162
0.084872 0.097691
0.084946 0.116794
0.084946 0.12228
0.085002 0.101693
0.085044 0.095181
0.085247 0.089576
0.085251 0.094319
0.085296 0.08738
0.085307 0.09286
0.085339 2.603292
0.085403 0.081598
0.08559 0.079344
0.085686 0.092407
0.085766 0.078806
0.085807 0.086288
0.086054 0.074169
0.086067 0.108172
0.086105 0.086233
0.086115 0.063407
0.086196 0.091591
0.086222 0.090091
0.086262 0.109038
0.08627 0.055805
0.086387 0.252564
0.086407 0.078853
0.086437 0.077005
0.086579 2.591116
0.086768 0.081875
0.086779 0.111143
0.08705 0.115147
0.087077 0.105421
0.087543 2.428356
0.087772 0.077252
0.088354 0.078585
0.088394 0.080846
0.088441 2.635035
0.088695 2.524643
0.089089 0.09226
0.089269 0.080816
0.089409 0.208843
0.089734 2.240666
0.089836 0.101879
0.089897 0.079416
0.089928 0.094958
0.090292 0.077707
0.090418 0.132278
0.09045 0.079069
0.090634 0.094491
0.090666 0.081804
0.09075 0.070183
0.090988 0.077849
0.091014 0.077819
0.09103 0.098683
0.091319 0.09836
0.091619 0.075107
0.091647 0.130042
0.091676 0.095012
0.091688 0.023732
0.092197 0.110254
0.092364 0.128017
0.092643 0.129931
0.093253 0.10384
0.093258 0.081342
0.093302 0.234833
0.093576 0.088674
0.09375 0.078384
