zphoto zspec COR_val
0.252435 0.014823 -0.23761200000000002
0.226088 0.05433 -0.17175800000000002
0.181479 0.074497 -0.10698200000000001
0.166868 0.076064 -0.09080399999999998
0.226575 0.077523 -0.14905200000000002
0.259095 0.077598 -0.18149700000000002
0.185875 0.081326 -0.10454900000000002
0.259095 0.081999 -0.17709600000000003
0.196184 0.08275 -0.113434
0.1991 0.083447 -0.115653
0.259095 0.084328 -0.174767
0.252564 0.086387 -0.16617700000000002
0.208843 0.089409 -0.119434
0.023732 0.091688 0.067956
0.023933 0.094584 0.070651
0.198213 0.096222 -0.101991
0.562819 0.097099 -0.46571999999999997
0.263842 0.097335 -0.16650700000000002
0.257296 0.100446 -0.15685000000000004
0.023076 0.10638 0.083304
0.216242 0.113155 -0.10308699999999998
0.263827 0.119208 -0.144619
0.03009 0.127035 0.096945
0.054964 0.130874 0.07590999999999999
0.23191 0.130917 -0.100993
0.545722 0.131302 -0.41442
0.570438 0.131489 -0.43894900000000003
0.023789 0.131843 0.10805399999999998
0.237835 0.132191 -0.10564399999999999
0.059894 0.132256 0.07236200000000001
0.222989 0.132624 -0.090365
0.556508 0.133286 -0.423222
0.521738 0.13347 -0.38826800000000006
0.034084 0.134388 0.100304
0.51621 0.14322 -0.37298999999999993
0.57718 0.146701 -0.43047900000000006
0.063832 0.147203 0.083371
0.053921 0.150249 0.096328
0.085597 0.162672 0.077075
0.094318 0.165812 0.07149399999999999
0.083846 0.16583 0.081984
0.077126 0.166166 0.08904000000000001
0.258622 0.169304 -0.08931800000000001
0.071585 0.170793 0.099208
0.096321 0.170957 0.074636
0.094704 0.172011 0.077307
0.080357 0.172931 0.092574
0.097757 0.177527 0.07977
0.258622 0.179818 -0.07880400000000001
0.0778 0.179901 0.10210100000000001
0.109297 0.180337 0.07103999999999999
0.260092 0.180767 -0.07932499999999998
0.541935 0.181437 -0.360498
0.092677 0.181501 0.088824
0.043801 0.181638 0.137837
0.54552 0.181723 -0.36379700000000004
0.084631 0.183097 0.09846600000000001
0.10768 0.183138 0.075458
0.616771 0.183251 -0.43351999999999996
0.094306 0.18398 0.089674
0.528262 0.184347 -0.34391499999999997
0.114817 0.184505 0.069688
0.265273 0.184618 -0.08065499999999998
0.54552 0.186435 -0.359085
0.566876 0.186484 -0.38039200000000006
0.554632 0.189658 -0.364974
0.276455 0.190101 -0.08635400000000001
0.530427 0.195492 -0.334935
0.531402 0.196711 -0.33469100000000007
0.569634 0.197243 -0.37239099999999997
0.522315 0.197595 -0.32472
0.519813 0.198217 -0.321596
0.124124 0.199078 0.074954
0.128894 0.200414 0.07152
0.534002 0.202324 -0.331678
0.594364 0.202925 -0.391439
0.532352 0.203293 -0.32905900000000005
0.125596 0.203844 0.07824799999999998
0.485257 0.205773 -0.27948399999999995
0.54552 0.206447 -0.339073
0.09446 0.206549 0.11208900000000001
0.51414 0.206639 -0.307501
0.527773 0.206664 -0.3211090000000001
0.125596 0.206995 0.081399
0.535117 0.207288 -0.3278289999999999
0.132404 0.207312 0.074908
0.130448 0.207657 0.077209
0.543594 0.207858 -0.33573600000000003
0.508926 0.208952 -0.29997399999999996
0.130134 0.209513 0.079379
0.528262 0.210232 -0.31803000000000003
0.295205 0.210468 -0.084737
0.50486 0.212153 -0.29270699999999994
0.298935 0.213301 -0.08563400000000002
0.295766 0.213303 -0.08246299999999998
0.510855 0.214441 -0.29641399999999996
0.132345 0.214658 0.082313
0.292787 0.214769 -0.07801800000000003
0.573238 0.219005 -0.354233
0.562227 0.21902 -0.34320700000000004
0.510718 0.219879 -0.290839
0.304449 0.220889 -0.08356000000000002
0.334182 0.221249 -0.11293299999999998
0.146119 0.22295 0.07683100000000001
0.499364 0.223704 -0.27566
0.504771 0.223941 -0.28082999999999997
0.522101 0.226793 -0.295308
0.519813 0.230289 -0.289524
0.330036 0.231291 -0.098745
0.531402 0.232692 -0.29871000000000003
0.532552 0.233809 -0.29874300000000004
0.534829 0.234712 -0.30011699999999997
0.558171 0.234732 -0.323439
0.533205 0.235041 -0.29816400000000004
0.575891 0.235531 -0.34036000000000005
0.538765 0.235815 -0.30295000000000005
0.494917 0.23757 -0.257347
0.348186 0.238903 -0.10928299999999999
0.509399 0.240105 -0.26929400000000003
0.455816 0.241493 -0.21432299999999999
0.521847 0.242671 -0.279176
0.584367 0.242695 -0.341672
0.330977 0.242793 -0.08818400000000001
0.522467 0.243515 -0.278952
0.544885 0.244461 -0.3004239999999999
0.094651 0.246139 0.151488
0.33534 0.246719 -0.08862100000000003
0.088275 0.24886 0.16058499999999998
0.347383 0.249083 -0.0983
0.498985 0.25013 -0.248855
0.500711 0.251695 -0.24901600000000002
0.492821 0.251696 -0.24112500000000003
0.488069 0.251724 -0.23634499999999997
0.516608 0.252164 -0.26444399999999996
0.167664 0.252557 0.08489299999999997
0.539479 0.25256 -0.28691900000000004
0.52691 0.252903 -0.274007
0.500773 0.253047 -0.247726
0.359651 0.253489 -0.10616199999999998
0.528503 0.253567 -0.27493599999999996
0.556508 0.253651 -0.302857
0.507921 0.254479 -0.25344199999999995
0.539479 0.254886 -0.28459300000000004
0.491995 0.254902 -0.237093
0.566781 0.254984 -0.311797
0.117727 0.256475 0.138748
0.465938 0.256708 -0.20923000000000003
0.179329 0.257105 0.07777599999999998
0.361318 0.257114 -0.10420399999999996
0.384219 0.257808 -0.126411
0.524555 0.258218 -0.266337
0.471821 0.258269 -0.21355199999999996
0.34434 0.258619 -0.08572099999999999
0.359276 0.258851 -0.10042499999999999
0.527755 0.259038 -0.268717
0.439245 0.259524 -0.17972100000000002
0.513068 0.25968 -0.25338799999999995
0.513962 0.260035 -0.253927
0.575891 0.260145 -0.315746
0.568203 0.260325 -0.30787800000000004
0.515254 0.260443 -0.254811
0.086384 0.260768 0.17438399999999998
0.462022 0.261077 -0.20094499999999998
0.348053 0.261174 -0.08687899999999998
0.351123 0.261649 -0.089474
0.348015 0.261704 -0.08631100000000003
0.187567 0.26208 0.07451299999999997
0.346948 0.262265 -0.08468299999999995
0.363782 0.262294 -0.10148799999999997
0.46515 0.262614 -0.202536
0.541193 0.263557 -0.27763600000000005
0.494748 0.263656 -0.23109200000000002
0.447144 0.263962 -0.183182
0.531402 0.264258 -0.26714400000000005
0.498341 0.264513 -0.23382799999999998
0.468364 0.264759 -0.20360499999999998
0.465774 0.265281 -0.20049300000000003
0.473337 0.265833 -0.20750400000000002
0.132325 0.266535 0.13421000000000002
0.352287 0.266704 -0.08558300000000002
0.523199 0.267398 -0.25580099999999995
0.437615 0.268106 -0.16950899999999997
0.146119 0.269138 0.12301899999999999
0.386426 0.269415 -0.11701099999999998
0.38673 0.270324 -0.11640600000000001
0.478802 0.270561 -0.208241
0.385106 0.270665 -0.11444100000000001
0.476155 0.270666 -0.20548899999999998
0.53344 0.270712 -0.262728
0.196754 0.271912 0.07515799999999997
0.541193 0.274011 -0.26718200000000003
0.200251 0.274012 0.07376099999999997
0.378146 0.274498 -0.10364799999999996
0.524555 0.274526 -0.250029
0.36527 0.274835 -0.09043499999999999
0.55998 0.274878 -0.285102
0.487927 0.275017 -0.21291
0.453863 0.275165 -0.17869800000000002
0.443954 0.275308 -0.16864600000000002
0.468649 0.275314 -0.19333499999999998
0.364299 0.275958 -0.088341
0.518457 0.276433 -0.24202399999999996
0.52691 0.276834 -0.25007599999999996
0.517222 0.277071 -0.24015099999999995
0.370406 0.277151 -0.09325500000000003
0.532163 0.277259 -0.2549040000000001
0.371881 0.277478 -0.09440300000000001
0.506286 0.278298 -0.22798800000000002
0.36179 0.278702 -0.083088
0.491995 0.278741 -0.213254
0.478047 0.279312 -0.198735
0.505871 0.279354 -0.22651699999999997
0.384907 0.279381 -0.10552600000000001
0.418583 0.279582 -0.13900099999999999
0.203869 0.279786 0.07591699999999998
0.469555 0.280468 -0.189087
0.418175 0.280626 -0.13754900000000003
0.548035 0.280723 -0.26731200000000005
0.53466 0.280868 -0.253792
0.563084 0.281057 -0.282027
0.473817 0.281939 -0.191878
0.568203 0.281996 -0.286207
0.187309 0.282104 0.09479500000000002
0.562743 0.282503 -0.28024
0.402671 0.282746 -0.119925
0.498767 0.283409 -0.215358
0.515372 0.283448 -0.23192400000000007
0.507985 0.283698 -0.22428700000000001
0.37913 0.283887 -0.09524300000000002
0.447994 0.284092 -0.163902
0.377642 0.284383 -0.09325899999999998
0.519813 0.284588 -0.23522499999999996
0.374785 0.28459 -0.09019499999999997
0.474819 0.284805 -0.19001400000000002
0.198889 0.284855 0.08596600000000001
0.512772 0.284988 -0.227784
0.491683 0.285182 -0.206501
0.50554 0.28544 -0.22009999999999996
0.169361 0.285901 0.11654
0.489177 0.285919 -0.203258
0.368891 0.285948 -0.08294300000000004
0.510855 0.286016 -0.22483899999999996
0.494663 0.28606 -0.20860300000000004
0.458622 0.287354 -0.17126799999999998
0.441682 0.287735 -0.153947
0.370731 0.28777 -0.08296099999999995
0.452552 0.287918 -0.164634
0.498767 0.288936 -0.209831
0.501401 0.28905 -0.212351
0.214317 0.29011 0.07579299999999997
0.090215 0.290133 0.19991799999999998
0.470759 0.290732 -0.180027
0.374969 0.291176 -0.083793
0.566572 0.291212 -0.27535999999999994
0.411618 0.29207 -0.11954799999999999
0.386935 0.292227 -0.09470799999999996
0.381472 0.292392 -0.08907999999999999
0.161167 0.292428 0.13126100000000002
0.523657 0.292792 -0.23086500000000004
0.50268 0.292812 -0.209868
0.441621 0.293039 -0.148582
0.381288 0.293501 -0.087787
0.383138 0.294275 -0.08886299999999997
0.209818 0.294975 0.08515699999999998
0.203681 0.294998 0.09131699999999998
0.434007 0.295112 -0.138895
0.506752 0.295354 -0.21139799999999997
0.407338 0.295523 -0.111815
0.536871 0.295749 -0.241122
0.441859 0.296116 -0.145743
0.417204 0.296797 -0.12040700000000004
0.490224 0.296871 -0.193353
0.384408 0.297387 -0.08702100000000002
0.471948 0.297706 -0.17424199999999995
0.44053 0.29875 -0.14177999999999996
0.452703 0.299523 -0.15318000000000004
0.398465 0.300742 -0.097723
0.463634 0.301429 -0.162205
0.524725 0.30219 -0.22253499999999998
0.48051 0.302301 -0.178209
0.520002 0.302394 -0.21760799999999997
0.562743 0.302771 -0.259972
0.501092 0.303249 -0.197843
0.425757 0.303289 -0.12246800000000002
0.48051 0.303661 -0.17684899999999998
0.399953 0.304199 -0.095754
0.484643 0.304231 -0.18041200000000002
0.467038 0.304268 -0.16277000000000003
0.229135 0.30436 0.07522500000000001
0.216667 0.304589 0.087922
0.230138 0.304617 0.07447900000000002
0.422327 0.305569 -0.11675800000000003
0.49319 0.305591 -0.18759900000000002
0.468649 0.305837 -0.16281199999999996
0.526146 0.306075 -0.22007100000000002
0.214575 0.306533 0.09195800000000001
0.223373 0.306911 0.083538
0.576963 0.307457 -0.269506
0.522614 0.307789 -0.21482500000000004
0.449515 0.308071 -0.14144400000000001
0.214108 0.308146 0.09403799999999998
0.210279 0.309025 0.098746
0.520002 0.309145 -0.21085699999999996
0.48051 0.309183 -0.171327
0.219018 0.309339 0.09032099999999998
0.497119 0.309642 -0.187477
0.202956 0.310038 0.10708199999999998
0.501092 0.310055 -0.19103699999999996
0.413484 0.310124 -0.10336000000000001
0.470533 0.310454 -0.16007899999999997
0.457892 0.310553 -0.147339
0.526002 0.310692 -0.21530999999999995
0.513828 0.310724 -0.20310399999999995
0.223094 0.311354 0.08826000000000003
0.500201 0.311502 -0.188699
0.395612 0.311535 -0.08407700000000001
0.47656 0.311652 -0.164908
0.486871 0.311884 -0.174987
0.451779 0.312459 -0.13932
0.419874 0.31253 -0.10734400000000005
0.473264 0.312852 -0.160412
0.213603 0.312933 0.09933000000000003
0.47103 0.312935 -0.15809499999999999
0.474312 0.313297 -0.16101500000000002
0.218378 0.313522 0.09514400000000003
0.196761 0.313608 0.116847
0.501563 0.314338 -0.18722499999999997
0.505862 0.314587 -0.19127500000000003
0.467929 0.315047 -0.15288199999999996
0.562683 0.315297 -0.24738600000000005
0.524911 0.315344 -0.209567
0.23509 0.315502 0.08041200000000001
0.441921 0.316682 -0.125239
0.48051 0.317437 -0.16307299999999997
0.422203 0.317902 -0.10430099999999998
0.471596 0.318589 -0.153007
0.444454 0.319043 -0.125411
0.17933 0.31937 0.14004
0.501247 0.320296 -0.18095099999999997
0.472326 0.32053 -0.15179600000000004
0.540771 0.322009 -0.218762
0.494499 0.322133 -0.17236600000000002
0.454345 0.32306 -0.13128499999999999
0.225375 0.323348 0.09797300000000003
0.439347 0.325944 -0.11340299999999998
0.476533 0.32599 -0.15054299999999998
0.526892 0.326176 -0.200716
0.549142 0.326408 -0.22273400000000004
0.468649 0.327086 -0.141563
0.417672 0.32709 -0.090582
0.524911 0.327238 -0.19767300000000004
0.417859 0.328745 -0.08911399999999997
0.461148 0.328763 -0.13238499999999997
0.453108 0.329111 -0.12399700000000002
0.501092 0.330301 -0.17079099999999997
0.566876 0.330382 -0.23649400000000004
0.419026 0.330862 -0.08816400000000002
0.499168 0.331121 -0.168047
0.427452 0.332009 -0.095443
0.431904 0.332088 -0.09981600000000002
0.499778 0.332244 -0.16753400000000002
0.421335 0.332371 -0.08896399999999999
0.223456 0.332396 0.10894000000000004
0.468038 0.333041 -0.13499700000000003
0.444912 0.333198 -0.11171399999999998
0.45766 0.333394 -0.12426599999999999
