z_true z_phot
0.014823 0.25243499999999996
0.054329999999999996 0.226088
0.07449700000000001 0.181479
0.07606399999999999 0.16686800000000002
0.07752300000000001 0.226575
0.077598 0.25909499999999996
0.081326 0.185875
0.081999 0.25909499999999996
0.08275 0.196184
0.08344700000000001 0.1991
0.084328 0.25909499999999996
0.086387 0.252564
0.089409 0.20884299999999997
0.091688 0.023732
0.094584 0.023933000000000003
0.096222 0.198213
0.097099 0.562819
0.097335 0.263842
0.10044600000000001 0.257296
0.10638 0.023076
0.11315499999999999 0.21624200000000002
0.119208 0.263827
0.12703499999999998 0.03009
0.130874 0.054964
0.130917 0.23190999999999998
0.131302 0.545722
0.13148900000000002 0.570438
0.13184300000000002 0.023788999999999998
0.132191 0.237835
0.13225599999999998 0.059894
0.132624 0.222989
0.133286 0.556508
0.13347 0.521738
0.134388 0.034083999999999996
0.14322000000000001 0.5162100000000001
0.146701 0.57718
0.147203 0.063832
0.150249 0.053921000000000004
0.162672 0.085597
0.165812 0.094318
0.16583 0.083846
0.166166 0.077126
0.169304 0.25862199999999996
0.170793 0.071585
0.170957 0.096321
0.172011 0.094704
0.172931 0.08035700000000001
0.177527 0.09775700000000001
0.179818 0.25862199999999996
0.179901 0.0778
0.180337 0.109297
0.180767 0.260092
0.181437 0.5419350000000001
0.181501 0.092677
0.18163800000000002 0.043801
0.181723 0.54552
0.183097 0.084631
0.18313800000000002 0.10768
0.183251 0.616771
0.18398 0.094306
0.184347 0.528262
0.184505 0.114817
0.184618 0.265273
0.186435 0.54552
0.18648399999999998 0.566876
0.189658 0.554632
0.190101 0.276455
0.195492 0.5304270000000001
0.196711 0.531402
0.197243 0.569634
0.197595 0.522315
0.198217 0.519813
0.199078 0.124124
0.200414 0.128894
0.202324 0.5340020000000001
0.202925 0.594364
0.203293 0.532352
0.203844 0.125596
0.205773 0.485257
0.206447 0.54552
0.20654899999999998 0.09446
0.206639 0.5141399999999999
0.206664 0.5277729999999999
0.20699499999999998 0.125596
0.207288 0.535117
0.207312 0.132404
0.207657 0.130448
0.207858 0.5435939999999999
0.208952 0.508926
0.209513 0.130134
0.21023200000000003 0.528262
0.210468 0.295205
0.212153 0.5048600000000001
0.21330100000000002 0.298935
0.21330300000000002 0.295766
