z bias
0.05 0.026000000000000002
0.15 0.026000000000000002
0.25 0.026000000000000002
0.35 0.0154
0.44999999999999996 -0.0004
0.5499999999999999 -0.0035
0.65 -0.0035
0.75 0.0009
0.85 0.0012
0.95 0.0012
1.0499999999999998 0.0041
1.15 0.0045
