z bias
0.05 0.0064
0.15 0.0064
0.25 0.0064
0.35 0.0055
0.44999999999999996 0.0014
0.5499999999999999 0.0002
0.65 0.0002
0.75 0.0007
0.85 0.0003
0.95 0.0003
1.0499999999999998 0.0006
1.15 0.001
