z_true z_photo outlier_bias F
0.05 0.20350607524252318 0.0931158150459975 0.09193257462329567
0.15 0.18300635856363012 0.14264972999902878 0.05006243743650929
0.25 0.25173042103204435 0.11916156303210416 0.04533925280149503
0.35 0.35391957027584425 0.050523511171329666 0.05617785597192038
0.44999999999999996 0.43381511392310795 -0.03539222855718906 0.06099308220145277
0.5499999999999999 0.47149567708141116 -0.1017437472707343 0.044634960917172166
0.65 0.5964292439083224 -0.07659462194665997 0.020189993039414062
0.75 0.7893091779665812 0.025033656528052704 0.004585964527586081
0.85 0.9026994954720111 0.10848546426152315 0.006027389163023054
0.95 0.9884879840853764 0.13277801679791665 0.015328109575194811
1.0499999999999998 1.081868673130669 0.10646639422084228 0.026254166959057773
1.15 1.1711436753716338 0.0647813647180949 0.037621633866108325
