z bias
0.05 0.003
0.15000000000000002 0.0012
0.25 0.0004
0.35 0.0021
0.45 -0.005
0.55 -0.0013
0.65 -0.0005
0.75 0.0006
0.8500000000000001 -0.0013
0.9500000000000001 -0.0008
1.05 0.0009
1.1500000000000001 0.002
